,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hour,Arrival_min,Dep_hour,Dep_min,Duration_hour,Duration_min
0,3,0,5,0.0,8,3897.0,24,3,2019,1,10,22,20,2,50
1,1,3,0,2.0,8,7662.0,1,5,2019,13,15,5,50,7,25
2,4,2,1,2.0,8,13882.0,9,6,2019,4,25,9,25,19,0
3,3,3,0,1.0,8,6218.0,12,5,2019,23,30,18,5,5,25
4,3,0,5,1.0,8,13302.0,1,3,2019,21,35,16,50,4,45
5,8,3,0,0.0,8,3873.0,24,6,2019,11,25,9,0,2,25
6,4,0,5,1.0,5,11087.0,12,3,2019,10,25,18,55,15,30
7,4,0,5,1.0,8,22270.0,1,3,2019,5,5,8,0,21,5
8,4,0,5,1.0,5,11087.0,12,3,2019,10,25,8,55,25,30
9,6,2,1,1.0,8,8625.0,27,5,2019,19,15,11,25,7,50
10,1,2,1,1.0,8,8907.0,1,6,2019,23,0,9,45,13,15
11,3,3,0,0.0,8,4174.0,18,4,2019,22,55,20,20,2,35
12,1,1,4,0.0,8,4667.0,24,6,2019,13,55,11,40,2,15
13,4,3,0,1.0,5,9663.0,9,5,2019,9,20,21,10,12,10
14,3,3,0,0.0,8,4804.0,24,4,2019,19,50,17,15,2,35
15,1,2,1,2.0,8,14011.0,3,3,2019,19,15,16,40,26,35
16,8,2,1,1.0,8,5830.0,15,4,2019,13,15,8,45,4,30
17,4,2,1,1.0,5,10262.0,12,6,2019,12,35,14,0,22,35
18,1,2,1,2.0,8,13381.0,12,6,2019,19,15,20,15,23,0
19,4,2,1,1.0,5,12898.0,27,5,2019,12,35,16,0,20,35
20,2,2,1,1.0,8,19495.0,6,3,2019,19,20,14,10,5,10
21,1,0,5,1.0,8,6955.0,21,3,2019,13,20,22,0,15,20
22,3,0,2,0.0,8,3943.0,3,4,2019,6,50,4,0,2,50
23,3,0,2,0.0,8,4823.0,1,5,2019,21,50,18,55,2,55
24,4,3,0,1.0,5,7757.0,6,5,2019,8,15,18,55,13,20
25,4,2,1,2.0,8,13292.0,9,6,2019,12,35,21,25,15,10
26,3,2,1,1.0,8,8238.0,1,6,2019,3,35,21,50,5,45
27,2,2,1,1.0,8,7682.0,15,5,2019,12,55,7,0,5,55
28,10,0,2,0.0,8,4668.0,18,6,2019,12,35,9,45,2,50
29,10,1,4,0.0,8,3687.0,15,6,2019,9,20,7,5,2,15
30,10,1,4,0.0,8,3687.0,18,6,2019,9,20,7,5,2,15
31,1,3,0,2.0,8,13227.0,1,5,2019,23,15,9,50,13,25
32,3,0,2,0.0,8,4423.0,6,4,2019,6,50,4,0,2,50
33,4,2,1,2.0,5,10919.0,15,6,2019,12,35,14,35,22,0
34,4,2,1,1.0,5,12373.0,18,5,2019,12,35,7,5,5,30
35,3,2,1,1.0,8,5894.0,27,6,2019,21,0,10,35,10,25
